1000000, KENTON, RILEY, 7, 15611.8, 3990
1000002, DAVE, SANTOS, 4, 8102.1, 4019
1000004, HOMER, VELEZ, 5, 18872.9, 4001
1000006, BRANT, CARRILLO, 4, 16355.3, 4002
1000011, WINSTON, GRAVES, 7, 16940.6, 4019
1000012, REINALDO, ROLLINS, 0, 19836, 3995
1000014, ERIC, BUTLER, 2, 9943.8, 4004
1000019, KRIS, ROWLAND, 3, 11600.9, 4010
1000024, FREDERIC, KENNEDY, 7, 26384.2, 4009
1000026, BARRETT, DIAZ, 4, 5771.7, 3996
1000030, LLOYD, RUSSELL, 1, 17981.8, 4010
1000035, HOMER, LARSON, 7, 26722.5, 4017
1000039, GINO, BARTON, 0, 6134.7, 4002
1000042, BENNETT, BARRERA, 1, 13164, 3991
1000047, JAMEL, MYERS, 1, 22339, 3993
1000048, TERRANCE, PRINCE, 6, 15108.6, 4011
1000050, DAMIEN, DAVENPORT, 4, 23205.3, 4006
1000054, TRUMAN, HARRELL, 1, 5912.8, 4013
1000057, MICHAL, BURTON, 0, 9320, 4010
1000059, REUBEN, SANTANA, 7, 26029.5, 3998
1000061, ERICK, VELAZQUEZ, 6, 8294.2, 4019
1000063, DEAN, WIGGINS, 0, 7820.4, 4011
1000067, EMERY, FOWLER, 0, 22939.9, 4010
1000068, JAY, MADDOX, 3, 22263, 4001
1000073, LYLE, MEYERS, 4, 7154.1, 4009
1000078, BRETT, EVERETT, 5, 23950.3, 4007
1000083, DEON, KLINE, 2, 16317.8, 4012
1000088, LOYD, FRYE, 6, 24159.7, 3998
1000092, WALLY, BARRERA, 6, 28603.6, 4019
1000095, MARCOS, DONALDSON, 0, 10526, 4005
1000096, DEAN, GIBSON, 4, 5643.7, 3998
1000099, ROSARIO, CHAVEZ, 5, 17360.2, 4016
1000100, KIETH, SANCHEZ, 7, 25354.4, 4015
1000105, DEWAYNE, PETERS, 4, 4225.9, 4002
1000108, ANDERSON, COOPER, 5, 25946.1, 4015
1000111, VIRGIL, DUNN, 0, 6026.8, 3991
1000113, DON, BAUER, 2, 7017.3, 4018
1000117, CALVIN, MCGOWAN, 6, 14941.1, 4018
1000121, RAYMOND, MORROW, 6, 10136.8, 3990
1000123, KELLEY, BLACK, 0, 23265.9, 4001
1000127, SHAUN, MCGOWAN, 5, 25939.5, 4003
1000132, CARLO, DEJESUS, 2, 15038.3, 4019
1000135, LEIF, LARSEN, 2, 25417.5, 3994
1000136, LOUIS, SNOW, 1, 5544.5, 4005
1000137, SCOTT, MAYER, 7, 27922.8, 4005
1000140, MONTY, SCHNEIDER, 3, 8177, 4003
1000144, ELMO, DAVIDSON, 5, 13225.2, 4000
1000146, FRANK, STEVENS, 0, 7686, 4014
1000147, DION, CHAMBERS, 4, 14845.9, 3997
1000148, HERIBERTO, STONE, 3, 14017.1, 3991
1000149, MCKINLEY, MCLEOD, 7, 8930, 3992
1000153, ROMEO, HOLMES, 4, 14759.3, 4010
1000157, VANCE, HOBBS, 7, 9567.1, 3994
1000162, CHI, FREDERICK, 5, 16391.4, 3995
1000166, PATRICK, HARPER, 1, 10097.4, 3995
1000167, DON, FAULKNER, 7, 19251, 3992
1000171, JOSUE, MARSHALL, 5, 14149.5, 3993
1000175, TEDDY, GALLAGHER, 0, 28385.7, 3993
1000176, DIRK, WALTERS, 5, 4902.7, 4002
1000179, JOEY, GUERRERO, 4, 16329.2, 4000
1000184, ISRAEL, MATHEWS, 7, 13923.6, 4006
1000186, EDMOND, PEREZ, 6, 23604.4, 3990
1000188, HOBERT, JORDAN, 0, 22970.9, 3999
1000193, BERNARDO, PORTER, 1, 22061.7, 4019
